Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
2015-08-21,3382,16365,12.16,5,461.0,329,45,16,195,429,34,16,465,755.587.136,Friday,4.0,1,7.15,922.580.645.161,918.333.333.333,929.173.693.086,August,8
2015-08-22,3498,17252,12.82,15,481.0,382,19,42,2164,263,7,13,285,796.597.622,Saturday,5.0,0,438.333.333.333,922.807.017.544,7.15,922.580.645.161,August,8
2015-08-23,3288,14537,10.8,3,518.0,345,19,47,1937,445,75,38,526,67.108.068,Sunday,6.0,0,741.666.666.667,846.007.604.563,438.333.333.333,922.807.017.544,August,8
2015-08-24,3215,13404,9.96,18,685.0,192,38,71,1648,212,33,15,247,618.885.516,Monday,0.0,1,353.333.333.333,858.299.595.142,741.666.666.667,846.007.604.563,August,8
2015-08-25,3063,1094,8.13,12,697.0,199,52,50,153,324,22,13,354,505.174.623,Tuesday,1.0,1,5.4,915.254.237.288,353.333.333.333,858.299.595.142,August,8
2015-08-26,2928,10032,7.45,13,757.0,175,45,45,1328,465,60,33,525,462.921.395,Wednesday,2.0,1,7.75,885.714.285.714,5.4,915.254.237.288,August,8
2015-08-27,3229,14008,10.41,6,544.0,334,18,35,1828,440,33,23,476,646.847.211,Thursday,3.0,1,733.333.333.333,924.369.747.899,7.75,885.714.285.714,August,8
2015-08-28,3356,12149,09.03,11,1.051,369,9,11,1861,518,28,19,549,561.098.013,Friday,4.0,1,863.333.333.333,943.533.697.632,733.333.333.333,924.369.747.899,August,8
2015-08-29,389,19977,14.84,26,648.0,395,23,74,254,375,49,33,446,922.114.564,Saturday,5.0,0,6.25,840.807.174.888,863.333.333.333,943.533.697.632,August,8
2015-08-30,2961,11924,8.91,64,1.421,0,0,0,0,326,13,6,339,553.641.561,Sunday,6.0,0,543.333.333.333,961.651.917.404,6.25,840.807.174.888,August,8
2015-08-31,3136,10757,7.99,15,1.187,145,43,65,1532,397,21,14,437,496.475.429,Monday,0.0,1,661.666.666.667,908.466.819.222,543.333.333.333,961.651.917.404,August,8
2015-09-01,3681,12229,9.11,24,689.0,421,17,16,22,497,47,37,549,566.068.981,Tuesday,1.0,1,828.333.333.333,905.282.331.512,661.666.666.667,908.466.819.222,September,9
2015-09-02,3009,1033,7.68,16,770.0,248,16,15,1369,0,0,0,0,477.212.928,Wednesday,2.0,1,0.0,0.0,828.333.333.333,905.282.331.512,September,9
2015-09-03,3094,11689,8.69,11,1.043,182,50,51,153,234,5,8,250,539.971.399,Thursday,3.0,1,3.9,93.6,0.0,0.0,September,9
2015-09-04,3518,15627,11.61,26,606.0,284,50,55,2063,52,6,3,69,721.411.731,Friday,4.0,1,866.666.666.667,753.623.188.406,3.9,93.6,September,9
2015-09-05,2885,10681,7.94,1,656.0,240,15,30,1356,0,0,0,0,493.368.574,Saturday,5.0,0,0.0,0.0,866.666.666.667,753.623.188.406,September,9
2015-09-06,2745,7907,5.88,0,654.0,287,0,0,1217,125,13,9,141,365.366.148,Sunday,6.0,0,208.333.333.333,886.524.822.695,0.0,0.0,September,9
2015-09-07,2829,9487,07.05,17,1.156,152,40,28,1197,316,46,20,366,438.066.555,Monday,0.0,1,526.666.666.667,863.387.978.142,208.333.333.333,886.524.822.695,September,9
2015-09-08,2742,8253,6.13,11,1.137,91,16,29,7630,0,0,0,0,380.900.423,Tuesday,1.0,1,0.0,0.0,526.666.666.667,863.387.978.142,September,9
2015-09-09,4351,22238,16.52,16,355.0,407,87,85,3181,452,26,18,489,1.026.504.892,Wednesday,2.0,1,753.333.333.333,924.335.378.323,0.0,0.0,September,9
2015-09-10,2967,1065,7.91,15,940.0,198,38,42,1421,479,32,21,512,491.504.461,Thursday,3.0,1,798.333.333.333,935.546.875,753.333.333.333,924.335.378.323,September,9
2015-09-11,3054,12038,8.94,14,700.0,201,44,57,153,382,30,18,414,555.505.674,Friday,4.0,1,636.666.666.667,92.270.531.401,798.333.333.333,935.546.875,September,9
2015-09-12,2937,1148,8.53,2,462.0,315,8,13,1481,0,0,0,0,530.029.463,Saturday,5.0,0,0.0,0.0,636.666.666.667,92.270.531.401,September,9
2015-09-13,2977,9199,6.84,5,600.0,361,15,8,1564,153,8,9,163,425.017.764,Sunday,6.0,0,2.55,938.650.306.748,0.0,0.0,September,9
2015-09-14,2947,9564,7.11,16,1.118,168,43,46,1355,393,61,33,468,441.794.781,Monday,0.0,1,6.55,839.743.589.744,2.55,938.650.306.748,September,9
2015-09-15,2821,9019,6.7,13,755.0,144,72,25,1247,226,12,8,249,41.631.857,Tuesday,1.0,1,376.666.666.667,907.630.522.088,6.55,839.743.589.744,September,9
2015-09-16,3041,10239,7.61,13,675.0,192,35,46,1464,249,31,15,287,472.863.331,Wednesday,2.0,1,4.15,867.595.818.815,376.666.666.667,907.630.522.088,September,9
2015-09-17,2796,7739,5.75,14,741.0,211,17,10,114,525,72,45,603,357.288.325,Thursday,3.0,1,8.75,870.646.766.169,4.15,867.595.818.815,September,9
2015-09-18,2978,1262,9.38,9,773.0,170,59,39,1419,414,61,34,480,582.845.998,Friday,4.0,1,6.9,86.25,8.75,870.646.766.169,September,9
2015-09-19,316,14226,10.57,11,669.0,291,35,41,1736,0,0,0,0,656.789.147,Saturday,5.0,0,0.0,0.0,6.9,86.25,September,9
2015-09-20,2325,3858,2.87,1,1.255,185,0,0,7000,426,17,11,444,178.333.477,Sunday,6.0,0,7.1,959.459.459.459,0.0,0.0,September,9
2015-09-21,3458,17603,13.08,35,1.053,223,56,67,1912,423,40,27,478,812.753.268,Monday,0.0,1,07.05,884.937.238.494,7.1,959.459.459.459,September,9
2015-09-22,2988,10699,7.95,17,655.0,252,32,21,1471,407,41,29,457,493.989.945,Tuesday,1.0,1,678.333.333.333,890.590.809.628,07.05,884.937.238.494,September,9
2015-09-23,2561,7261,5.39,17,908.0,135,14,18,8690,393,58,30,452,334.918.969,Wednesday,2.0,1,6.55,869.469.026.549,678.333.333.333,890.590.809.628,September,9
2015-09-24,3159,10608,7.88,17,1.107,177,63,52,16,396,35,24,433,489.640.348,Thursday,3.0,1,6.6,91.454.965.358,6.55,869.469.026.549,September,9
2015-09-25,3193,12271,9.12,7,548.0,323,34,24,1799,0,0,0,0,566.690.352,Friday,4.0,1,0.0,0.0,6.6,91.454.965.358,September,9
2015-09-26,2934,9998,7.45,2,782.0,327,0,0,1431,0,0,0,0,462.921.395,Saturday,5.0,0,0.0,0.0,0.0,0.0,September,9
2015-09-27,2589,5757,4.28,1,800.0,270,0,0,1033,395,35,17,430,265.946.788,Sunday,6.0,0,658.333.333.333,918.604.651.163,0.0,0.0,September,9
2015-09-28,2874,8995,6.68,13,826.0,171,45,33,129,420,36,17,456,415.075.828,Monday,0.0,1,7.0,921.052.631.579,658.333.333.333,918.604.651.163,September,9
